"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2013-10-31T23:00:00.000Z","109.18","111.66","103.00","109.69","0.78","0.14","124,853"
"2013-11-30T23:00:00.000Z","109.75","112.94","108.05","110.80","1.01","0.37","97,947"
"2014-01-01T23:00:00.000Z","110.80","111.32","105.83","106.40","-3.97","-4.61","100,915"
"2014-02-01T23:00:00.000Z","106.07","110.83","105.35","109.07","2.51","1.87","86,747"
"2014-03-01T23:00:00.000Z","110.37","112.38","105.45","107.76","-1.20","-1.84","114,706"
"2014-03-31T22:00:00.000Z","107.69","110.63","103.97","108.07","0.29","-0.35","119,769"
"2014-04-30T22:00:00.000Z","107.98","111.03","106.85","109.41","1.24","0.60","155,344"
"2014-05-31T22:00:00.000Z","109.62","115.69","107.77","112.36","2.70","2.05","195,056"
"2014-06-30T22:00:00.000Z","112.33","112.80","104.51","106.02","-5.64","-6.28","232,563"
"2014-07-31T22:00:00.000Z","105.71","106.82","101.07","103.19","-2.67","-3.31","208,115"
"2014-09-01T22:00:00.000Z","103.10","103.28","94.26","94.67","-8.26","-8.90","267,960"
"2014-09-30T22:00:00.000Z","94.56","96.22","82.70","85.86","-9.31","-9.95","385,099"
"2014-11-01T23:00:00.000Z","85.86","86.39","69.83","70.15","-18.30","-18.94","305,879"
"2014-11-30T23:00:00.000Z","70.19","73.01","55.82","57.33","-18.28","-18.92","332,585"
"2015-01-01T23:00:00.000Z","57.63","58.22","45.23","52.99","-7.57","-8.21","576,923"
"2015-01-31T23:00:00.000Z","52.66","63.03","51.41","62.58","18.10","17.46","665,823"
"2015-02-28T23:00:00.000Z","62.25","62.40","52.58","55.11","-11.94","-12.58","499,234"
"2015-03-31T22:00:00.000Z","55.11","66.94","54.00","66.78","21.18","20.53","427,435"
"2015-04-30T22:00:00.000Z","66.65","69.60","61.27","65.56","-1.83","-2.47","415,701"
"2015-05-31T22:00:00.000Z","65.40","66.35","60.94","63.59","-3.00","-3.65","466,769"
"2015-06-30T22:00:00.000Z","63.07","63.35","51.64","52.21","-17.90","-18.54","657,400"
"2015-08-01T22:00:00.000Z","51.96","54.29","42.22","54.15","3.72","3.07","635,057"
"2015-08-31T22:00:00.000Z","52.78","53.46","46.16","48.37","-10.67","-11.32","497,093"
"2015-09-30T22:00:00.000Z","48.38","54.05","46.41","49.56","2.46","1.82","482,401"
"2015-10-31T23:00:00.000Z","49.46","50.92","43.35","44.61","-9.99","-10.63","518,009"
"2015-11-30T23:00:00.000Z","44.61","45.17","35.99","37.28","-16.43","-17.07","596,999"
"2016-01-02T23:00:00.000Z","37.40","38.99","27.11","34.74","-6.81","-7.46","725,957"
"2016-01-31T23:00:00.000Z","34.69","36.99","29.94","35.97","3.54","2.90","683,434"
"2016-02-29T23:00:00.000Z","35.96","42.54","35.96","39.60","10.09","9.45","574,821"
"2016-03-31T22:00:00.000Z","39.66","48.49","37.28","48.13","21.54","20.90","605,361"
"2016-04-30T22:00:00.000Z","48.10","50.50","43.34","49.69","3.24","2.60","554,323"
"2016-05-31T22:00:00.000Z","49.69","52.85","46.69","49.68","-0.02","-0.66","543,857"
"2016-06-30T22:00:00.000Z","49.84","50.73","41.82","42.46","-14.53","-15.18","493,196"
"2016-07-31T22:00:00.000Z","42.45","51.22","41.50","47.04","10.79","10.14","566,263"
"2016-08-31T22:00:00.000Z","47.05","50.14","45.09","49.06","4.29","3.65","505,286"
"2016-10-01T22:00:00.000Z","49.10","53.31","47.99","48.30","-1.55","-2.19","547,065"
"2016-10-31T23:00:00.000Z","48.33","50.47","43.58","50.47","4.49","3.85","768,402"
"2016-11-30T23:00:00.000Z","50.46","57.49","50.46","56.13","11.21","10.57","656,427"
"2016-12-31T23:00:00.000Z","57.05","58.37","53.57","55.70","-0.77","-1.41","620,510"
"2017-01-31T23:00:00.000Z","55.66","57.43","54.21","55.59","-0.20","-0.84","555,947"
"2017-02-28T23:00:00.000Z","55.60","56.64","49.64","52.83","-4.96","-5.61","692,804"
"2017-04-01T22:00:00.000Z","52.73","56.63","50.43","51.73","-2.08","-2.72","546,946"
"2017-04-30T22:00:00.000Z","51.66","54.66","46.65","50.31","-2.75","-3.39","769,381"
"2017-05-31T22:00:00.000Z","50.33","50.73","44.36","47.92","-4.75","-5.39","657,977"
"2017-07-01T22:00:00.000Z","47.87","52.85","46.12","52.65","9.87","9.23","459,431"
"2017-07-31T22:00:00.000Z","52.63","53.63","49.99","52.38","-0.51","-1.16","719,378"
"2017-08-31T22:00:00.000Z","52.32","59.49","51.98","57.54","9.85","9.21","477,658"
